"filename", "language", "JSON", "Markdown", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\Frank\LunchCount2024\LunchCountOLD\admin\adminPage.html", "HTML", 0, 0, 54, 0, 0, 8, 0, 62
"c:\Users\Frank\LunchCount2024\LunchCountOLD\admin\adminPage.js", "JavaScript", 0, 0, 0, 0, 24, 0, 6, 30
"c:\Users\Frank\LunchCount2024\LunchCountOLD\admin\adminSignIn.html", "HTML", 0, 0, 40, 0, 0, 2, 0, 42
"c:\Users\Frank\LunchCount2024\LunchCountOLD\admin\adminSignIn.js", "JavaScript", 0, 0, 0, 0, 53, 0, 4, 57
"c:\Users\Frank\LunchCount2024\LunchCountOLD\admin\adminStyles.css", "CSS", 0, 0, 0, 22, 0, 0, 0, 22
"c:\Users\Frank\LunchCount2024\LunchCountOLD\defaultPage.css", "CSS", 0, 0, 0, 18, 0, 0, 1, 19
"c:\Users\Frank\LunchCount2024\LunchCountOLD\in1dex.html", "HTML", 0, 0, 11, 0, 0, 0, 0, 11
"c:\Users\Frank\LunchCount2024\LunchCountOLD\mainPage.html", "HTML", 0, 0, 41, 0, 0, 3, 0, 44
"c:\Users\Frank\LunchCount2024\LunchCountOLD\mainPage.js", "JavaScript", 0, 0, 0, 0, 37, 0, 3, 40
"c:\Users\Frank\LunchCount2024\LunchCountOLD\main\mainPage.html", "HTML", 0, 0, 41, 0, 0, 3, 0, 44
"c:\Users\Frank\LunchCount2024\LunchCountOLD\main\mainPage.js", "JavaScript", 0, 0, 0, 0, 37, 0, 3, 40
"c:\Users\Frank\LunchCount2024\LunchCountOLD\main\signIn.js", "JavaScript", 0, 0, 0, 0, 53, 0, 4, 57
"c:\Users\Frank\LunchCount2024\LunchCountOLD\main\signInPage.html", "HTML", 0, 0, 39, 0, 0, 2, 0, 41
"c:\Users\Frank\LunchCount2024\LunchCountOLD\main\signInStyles.css", "CSS", 0, 0, 0, 74, 0, 0, 5, 79
"c:\Users\Frank\LunchCount2024\LunchCountOLD\main\styles.css", "CSS", 0, 0, 0, 55, 0, 0, 2, 57
"c:\Users\Frank\LunchCount2024\LunchCountOLD\package-lock.json", "JSON", 694, 0, 0, 0, 0, 0, 1, 695
"c:\Users\Frank\LunchCount2024\LunchCountOLD\package.json", "JSON", 21, 0, 0, 0, 0, 0, 1, 22
"c:\Users\Frank\LunchCount2024\LunchCountOLD\public\admin\adminPage.html", "HTML", 0, 0, 54, 0, 0, 8, 0, 62
"c:\Users\Frank\LunchCount2024\LunchCountOLD\public\admin\adminPage.js", "JavaScript", 0, 0, 0, 0, 24, 0, 6, 30
"c:\Users\Frank\LunchCount2024\LunchCountOLD\public\admin\adminSignIn.html", "HTML", 0, 0, 40, 0, 0, 2, 0, 42
"c:\Users\Frank\LunchCount2024\LunchCountOLD\public\admin\adminSignIn.js", "JavaScript", 0, 0, 0, 0, 53, 0, 4, 57
"c:\Users\Frank\LunchCount2024\LunchCountOLD\public\admin\adminStyles.css", "CSS", 0, 0, 0, 22, 0, 0, 0, 22
"c:\Users\Frank\LunchCount2024\LunchCountOLD\public\defaultPage.css", "CSS", 0, 0, 0, 18, 0, 0, 1, 19
"c:\Users\Frank\LunchCount2024\LunchCountOLD\public\in1dex.html", "HTML", 0, 0, 11, 0, 0, 0, 0, 11
"c:\Users\Frank\LunchCount2024\LunchCountOLD\public\main\mainPage.html", "HTML", 0, 0, 41, 0, 0, 3, 0, 44
"c:\Users\Frank\LunchCount2024\LunchCountOLD\public\main\mainPage.js", "JavaScript", 0, 0, 0, 0, 37, 0, 3, 40
"c:\Users\Frank\LunchCount2024\LunchCountOLD\public\main\signIn.js", "JavaScript", 0, 0, 0, 0, 53, 0, 4, 57
"c:\Users\Frank\LunchCount2024\LunchCountOLD\public\main\signInPage.html", "HTML", 0, 0, 39, 0, 0, 2, 0, 41
"c:\Users\Frank\LunchCount2024\LunchCountOLD\public\main\signInStyles.css", "CSS", 0, 0, 0, 74, 0, 0, 5, 79
"c:\Users\Frank\LunchCount2024\LunchCountOLD\public\main\styles.css", "CSS", 0, 0, 0, 55, 0, 0, 2, 57
"c:\Users\Frank\LunchCount2024\LunchCountOLD\server.js", "JavaScript", 0, 0, 0, 0, 9, 0, 4, 13
"c:\Users\Frank\LunchCount2024\LunchCountOLD\signIn.js", "JavaScript", 0, 0, 0, 0, 53, 0, 4, 57
"c:\Users\Frank\LunchCount2024\LunchCountOLD\signInPage.html", "HTML", 0, 0, 39, 0, 0, 2, 0, 41
"c:\Users\Frank\LunchCount2024\LunchCountOLD\signInStyles.css", "CSS", 0, 0, 0, 74, 0, 0, 5, 79
